"Dato";"Tekst";"Beløb";"Saldo";"Status";"Afstemt"
"23.07.2019";"Selskabskapital";"40.000,00";"40.000,00";"Udført";"Nej"
"07.08.2019";"VISA/DANKORT gebyr";"-150,00";"39.850,00";"Udført";"Nej"
"22.08.2019";"PADDLE.NET* FOLLOWLIKE\ \Lo...";"-51,48";"39.798,52";"Udført";"Nej"
"27.08.2019";"FORGE.LARAVEL.COM";"-130,72";"39.667,80";"Udført";"Nej"
"03.09.2019";"DIGITALOCEAN.COM";"-36,06";"39.631,74";"Udført";"Nej"
"04.09.2019";"VDK EUR    31,19";"-236,10";"39.395,64";"Udført";"Nej"
"06.09.2019";"dinero.dk          d1j61";"-293,75";"39.101,89";"Udført";"Nej"
"18.09.2019";"Lidl               36471";"-55,45";"39.046,44";"Udført";"Nej"
"26.09.2019";"FORGE.LARAVEL.COM";"-131,74";"38.914,70";"Udført";"Nej"
"30.09.2019";"Gebyrer ifølge nota";"-2.000,00";"36.914,70";"Udført";"Nej"
"02.10.2019";"DIGITALOCEAN.COM";"-96,18";"36.818,52";"Udført";"Nej"
"02.10.2019";"ENVATOMARKET49426365";"-426,71";"36.391,81";"Udført";"Nej"
"02.10.2019";"The Laundromat Caf )))) 57239";"-78,00";"36.313,81";"Udført";"Nej"
"02.10.2019";"juno the bakery Ap )))) 41241";"-75,00";"36.238,81";"Udført";"Nej"
"04.10.2019";"GOOGLE*GSUITE INFLUBOO\ \IN...";"-236,52";"36.002,29";"Udført";"Nej"
"07.10.2019";"SPISESTUERNE )))) 20845";"-9,36";"35.992,93";"Udført";"Nej"
"07.10.2019";"SPISESTUERNE )))) 89169";"-10,00";"35.982,93";"Udført";"Nej"
"08.10.2019";"Money back vincent";"173,00";"36.155,93";"Udført";"Nej"
"09.10.2019";"VISTAPR*VistaPrint.com\ \86...";"-914,00";"35.241,93";"Udført";"Nej"
"09.10.2019";"dinero.dk          k8gki";"-293,75";"34.948,18";"Udført";"Nej"
"10.10.2019";"Wolt Enterprises Oy\ \Helsi...";"-329,00";"34.619,18";"Udført";"Nej"
"10.10.2019";"Godtgørelse gebyr";"2.000,00";"36.619,18";"Udført";"Nej"
"14.10.2019";"Adobe Stock";"-275,00";"36.344,18";"Udført";"Nej"
"16.10.2019";"Adobe Stock";"275,00";"36.619,18";"Udført";"Nej"
"23.10.2019";"Internet 123";"-223,75";"36.395,43";"Udført";"Nej"
"23.10.2019";"Wulff & Konstali";"9.625,00";"46.020,43";"Udført";"Nej"
"24.10.2019";"HIKO PIZZA OG SANDWHICH  \ ...";"-104,00";"45.916,43";"Udført";"Nej"
"26.10.2019";"For 123 internet";"-110,00";"45.806,43";"Udført";"Nej"
"29.10.2019";"Lidl )))) 64856";"-85,70";"45.720,73";"Udført";"Nej"
"30.10.2019";"Betal. 3825-0075161176";"7.736,32";"53.457,05";"Udført";"Nej"
"30.10.2019";"Invoice namotto.lab";"-5.970,00";"47.487,05";"Udført";"Nej"
"04.11.2019";"HIKO PIZZA OG SANDWHICH  \ ...";"-52,00";"47.435,05";"Udført";"Nej"
"05.11.2019";"GOOGLE *GSUITE_influbo\ \cc...";"-236,82";"47.198,23";"Udført";"Nej"
"07.11.2019";"FACEBK *5MZTHQ69Z2\ \fb.me/...";"-150,00";"47.048,23";"Udført";"Nej"
"08.11.2019";"Spisestuerne ved Han";"-40,00";"47.008,23";"Udført";"Nej"
"11.11.2019";"Wulff & Konstali";"4.950,00";"51.958,23";"Udført";"Nej"
"14.11.2019";"Transfer";"6.250,00";"58.208,23";"Udført";"Nej"
"14.11.2019";"lån tilbage";"-20.000,00";"38.208,23";"Udført";"Nej"
"20.11.2019";"HIKO PIZZA OG SANDWHICH  \ ...";"-104,00";"38.104,23";"Udført";"Nej"
"28.11.2019";"lån tilbage";"-20.000,00";"18.104,23";"Udført";"Nej"
"30.11.2019";"payback";"140,00";"18.244,23";"Udført";"Nej"
"02.12.2019";"Overførsel";"41,90";"18.286,13";"Udført";"Nej"
"03.12.2019";"GOOGLE*ADS6706888664\ \INTE...";"-50,00";"18.236,13";"Udført";"Nej"
"03.12.2019";"Lidl";"-41,90";"18.194,23";"Udført";"Nej"
"03.12.2019";"Wolt Enterprises Oy";"-140,00";"18.054,23";"Udført";"Nej"
"04.12.2019";"Transfer";"7.375,00";"25.429,23";"Udført";"Nej"
"04.12.2019";"GOOGLE *GSUITE_influbo\ \cc...";"-236,80";"25.192,43";"Udført";"Nej"
"10.12.2019";"Wulff & Konstali";"4.950,00";"30.142,43";"Udført";"Nej"
"16.12.2019";"HIKO PIZZA OG SANDWHICH  \ ...";"-114,00";"30.028,43";"Udført";"Nej"
"16.12.2019";"HIKO PIZZA OG SANDWHICH  \ ...";"-30,00";"29.998,43";"Udført";"Nej"
"02.01.2020";"Wolt Enterprises Oy\ \Helsi...";"-714,00";"29.284,43";"Udført";"Nej"
"03.01.2020";"GOOGLE *GSUITE_influbo\ \cc...";"-190,82";"29.093,61";"Udført";"Nej"
"07.01.2020";"Wolt back Vincent";"714,00";"29.807,61";"Udført";"Nej"